tracking_id,class,source,first_seen,last_seen,time,status
36954,car,License_Plate_Detection_Test_1080p.mp4,980,980,2026-04-06 01:40:36,active
36972,car,License_Plate_Detection_Test_1080p.mp4,980,980,2026-04-06 01:40:36,active
41315,truck,License_Plate_Detection_Test_1080p.mp4,1001,1001,2026-04-06 01:40:41,active
41343,car,License_Plate_Detection_Test_1080p.mp4,1001,1001,2026-04-06 01:40:41,active
42794,car,License_Plate_Detection_Test_1080p.mp4,1008,1008,2026-04-06 01:40:42,active
49184,truck,License_Plate_Detection_Test_1080p.mp4,1043,1043,2026-04-06 01:40:49,active
51754,car,License_Plate_Detection_Test_1080p.mp4,1057,1057,2026-04-06 01:40:51,active
51776,car,License_Plate_Detection_Test_1080p.mp4,1057,1057,2026-04-06 01:40:51,active
55742,car,License_Plate_Detection_Test_1080p.mp4,1078,1078,2026-04-06 01:40:55,active
59649,car,License_Plate_Detection_Test_1080p.mp4,1099,1099,2026-04-06 01:40:59,active
64892,car,License_Plate_Detection_Test_1080p.mp4,1127,1127,2026-04-06 01:41:04,active
64910,truck,License_Plate_Detection_Test_1080p.mp4,1127,1127,2026-04-06 01:41:04,active
66436,car,License_Plate_Detection_Test_1080p.mp4,1134,1134,2026-04-06 01:41:06,active
69427,truck,License_Plate_Detection_Test_1080p.mp4,1148,1148,2026-04-06 01:41:09,active
70912,car,License_Plate_Detection_Test_1080p.mp4,1155,1155,2026-04-06 01:41:10,active
72272,person,License_Plate_Detection_Test_1080p.mp4,1162,1162,2026-04-06 01:41:12,active
73635,truck,License_Plate_Detection_Test_1080p.mp4,1169,1169,2026-04-06 01:41:13,active
75073,car,License_Plate_Detection_Test_1080p.mp4,1176,1176,2026-04-06 01:41:15,active
76418,truck,License_Plate_Detection_Test_1080p.mp4,1183,1183,2026-04-06 01:41:16,active
83054,truck,License_Plate_Detection_Test_1080p.mp4,1218,1218,2026-04-06 01:41:23,active
89536,car,License_Plate_Detection_Test_1080p.mp4,1253,1253,2026-04-06 01:41:29,active
90868,car,License_Plate_Detection_Test_1080p.mp4,1260,1260,2026-04-06 01:41:30,active
94848,car,License_Plate_Detection_Test_1080p.mp4,1281,1281,2026-04-06 01:41:34,active
96209,car,License_Plate_Detection_Test_1080p.mp4,1288,1288,2026-04-06 01:41:36,active
98909,truck,License_Plate_Detection_Test_1080p.mp4,1302,1302,2026-04-06 01:41:38,active
1597,car,License_Plate_Detection_Test_1080p.mp4,1316,1316,2026-04-06 01:41:41,active
4325,car,License_Plate_Detection_Test_1080p.mp4,1330,1330,2026-04-06 01:41:44,active
4347,person,License_Plate_Detection_Test_1080p.mp4,1330,1330,2026-04-06 01:41:44,active
4372,person,License_Plate_Detection_Test_1080p.mp4,1330,1330,2026-04-06 01:41:44,active
5980,truck,License_Plate_Detection_Test_1080p.mp4,1337,1337,2026-04-06 01:41:45,active
7386,car,License_Plate_Detection_Test_1080p.mp4,1344,1344,2026-04-06 01:41:47,active
11498,car,License_Plate_Detection_Test_1080p.mp4,1365,1365,2026-04-06 01:41:51,active
12884,car,License_Plate_Detection_Test_1080p.mp4,1372,1372,2026-04-06 01:41:52,active
15729,car,License_Plate_Detection_Test_1080p.mp4,1386,1386,2026-04-06 01:41:55,active
15747,car,License_Plate_Detection_Test_1080p.mp4,1386,1386,2026-04-06 01:41:55,active
17645,truck,License_Plate_Detection_Test_1080p.mp4,1393,1393,2026-04-06 01:41:57,active
22133,truck,License_Plate_Detection_Test_1080p.mp4,1414,1414,2026-04-06 01:42:02,active
24929,car,License_Plate_Detection_Test_1080p.mp4,1428,1428,2026-04-06 01:42:04,active
26292,car,License_Plate_Detection_Test_1080p.mp4,1435,1435,2026-04-06 01:42:06,active
26309,car,License_Plate_Detection_Test_1080p.mp4,1435,1435,2026-04-06 01:42:06,active
34425,car,License_Plate_Detection_Test_1080p.mp4,1477,1477,2026-04-06 01:42:14,active
38284,car,License_Plate_Detection_Test_1080p.mp4,1498,1498,2026-04-06 01:42:18,active
40992,car,License_Plate_Detection_Test_1080p.mp4,1512,1512,2026-04-06 01:42:20,active
41013,truck,License_Plate_Detection_Test_1080p.mp4,1512,1512,2026-04-06 01:42:21,active
44505,car,License_Plate_Detection_Test_1080p.mp4,1526,1526,2026-04-06 01:42:24,active
48752,traffic light,License_Plate_Detection_Test_1080p.mp4,1547,1547,2026-04-06 01:42:28,active
59257,car,License_Plate_Detection_Test_1080p.mp4,1603,1603,2026-04-06 01:42:39,active
64008,car,License_Plate_Detection_Test_1080p.mp4,1631,1631,2026-04-06 01:42:44,active
66292,car,License_Plate_Detection_Test_1080p.mp4,1645,1645,2026-04-06 01:42:46,active
71974,car,License_Plate_Detection_Test_1080p.mp4,1680,1680,2026-04-06 01:42:51,active
73247,car,License_Plate_Detection_Test_1080p.mp4,1687,1687,2026-04-06 01:42:53,active
73269,car,License_Plate_Detection_Test_1080p.mp4,1687,1687,2026-04-06 01:42:53,active
74563,car,License_Plate_Detection_Test_1080p.mp4,1694,1694,2026-04-06 01:42:54,active
75742,car,License_Plate_Detection_Test_1080p.mp4,1701,1701,2026-04-06 01:42:55,active
79955,truck,License_Plate_Detection_Test_1080p.mp4,1722,1722,2026-04-06 01:42:59,active
81551,car,License_Plate_Detection_Test_1080p.mp4,1729,1729,2026-04-06 01:43:01,active
82846,person,License_Plate_Detection_Test_1080p.mp4,1736,1736,2026-04-06 01:43:02,active
85350,car,License_Plate_Detection_Test_1080p.mp4,1750,1750,2026-04-06 01:43:05,active
90710,car,License_Plate_Detection_Test_1080p.mp4,1778,1778,2026-04-06 01:43:10,active
90730,truck,License_Plate_Detection_Test_1080p.mp4,1778,1778,2026-04-06 01:43:10,active
90748,car,License_Plate_Detection_Test_1080p.mp4,1778,1778,2026-04-06 01:43:10,active
92371,truck,License_Plate_Detection_Test_1080p.mp4,1785,1785,2026-04-06 01:43:12,active
56210,person,Screenshot 2026-04-06 013655.png,0,0,2026-04-06 01:44:16,active
56227,person,Screenshot 2026-04-06 013655.png,0,0,2026-04-06 01:44:16,active
56244,person,Screenshot 2026-04-06 013655.png,0,0,2026-04-06 01:44:16,active
25823,remote,Screen Recording 2026-01-15 205225.mp4,14,14,2026-04-06 01:47:05,active
